,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
242,PILLOW,Wynn (윈),0,0,0,0,0,1,5,0,0,0,0
243,Love Phobia,온유 (ONEW),5,0,0,0,4,0,5,0,0,6,0
244,그걸로도 충분해요 (Feat. 수안),San E,4,0,0,2,0,0,5,0,0,1,1
245,Yesterday,초아,6,1,1,1,0,1,5,0,2,1,0
246,MDA,hamzzi,2,0,0,0,0,0,5,1,0,1,0
247,home alone type.,Mood.,5,0,0,0,0,0,5,0,0,0,0
248,Answer,homezone,2,0,1,1,0,0,5,0,0,0,0
249,북극성 (Never Goodbye),NCT DREAM,4,0,1,3,0,0,5,0,0,0,0
250,잊을 수 없어,9001 (Ninety O One),0,0,0,0,0,0,5,3,0,0,1
251,Ending,싸비 (XAVII),0,0,0,0,0,0,5,0,0,0,0
252,Yellow (Feat.런치),주시크 (Joosiq),1,0,2,0,3,0,5,3,0,0,0
253,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),2,1,2,0,0,0,5,2,0,1,0
254,끊기 싫어 버티는 네가 좋아,WEN,0,2,1,0,0,0,5,3,1,1,3
255,각자의 취향 (Feat. Paloalto),Milena (밀레나),4,0,4,0,0,1,5,14,0,9,0
256,Someday (Feat. SOLE) (Prod. Padi),선재 (snzae),1,0,1,0,1,0,6,1,0,0,0
257,right here,keshi,0,0,0,0,0,0,5,0,0,0,0
258,HEY,THAMA,0,0,0,0,0,0,5,0,0,0,0
259,Ooh Ooh,THAMA,2,0,2,0,2,0,5,2,0,0,0
260,이상기후,기리보이,14,1,2,1,0,1,5,1,0,2,0
261,운명이란걸 (Feat. KAYA),비미 (BEME),1,1,4,1,0,1,5,1,0,3,4
262,NO MORE (Feat. 채수빈),Plo6,2,0,0,0,0,0,5,0,0,2,0
263,Cashmere (Feat. 네이비쿼카),리슨 (LYSON),0,0,1,0,0,0,5,1,0,5,1
264,마음은 마음대로,우재 (WOOJAE),0,0,0,0,1,0,5,1,1,3,4
265,Back to Love,FRankly (프랭클리),1,0,0,0,0,0,5,1,0,2,0
266,Forever (feat. So!YoON!),Rad Museum,1,1,4,2,0,1,5,1,0,1,1
267,젖은 우산,Rad Museum,0,0,0,0,0,0,5,0,0,0,0
268,이렇게 둘이,창모 (CHANGMO),5,0,0,0,0,0,5,0,0,1,0
269,우린 어떠한 별보다 빛날 거야,이하이,1,0,1,0,0,0,7,2,0,4,6
270,Maybe We Could Be a Thing,"Jesse Barrera, Michael Carreon, Albert Posis",0,0,0,0,0,0,5,0,0,0,0
271,GANADARA (Feat. 아이유),박재범,3,1,1,1,0,0,5,0,1,1,6
272,A LOT,John K,0,0,0,0,0,0,5,0,0,0,0
273,Love yourself,저드 (jerd),3,1,3,1,0,1,5,1,0,7,2
274,우리 얘기 좀 하자 (With 예빈(다이아)),단칸방 로맨스,4,1,0,1,0,0,5,1,0,3,1
275,October Rain,JEHO,0,0,0,0,0,0,6,1,0,0,0
276,어제처럼,폴킴,7,0,2,0,0,0,5,0,0,3,0
277,"손을 잡는다거나, 같이 걷는다거나",적재,0,0,1,0,0,0,5,0,0,4,1
278,"Fallin (Acoustic ver.) (Song by SIM2, Owler)",SOUND PALETTE,3,0,0,0,0,2,5,1,0,1,0
279,Pilot,NCT 127,1,0,1,0,0,0,5,1,1,0,4
280,선을 그려줘 (Feat. 백선),노르웨이 숲,0,0,3,0,0,0,5,0,0,0,0
281,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH),9,3,0,1,1,2,6,3,3,3,1
282,"Midnight Library (Feat. Kelsey Kuan, Kevin Chung)",뎁트,4,0,4,0,0,0,5,2,0,0,2
283,"꿈의 백화점 (Feat. Ashley Alisha, Heyden)",뎁트,4,0,12,0,0,0,5,1,0,6,1
284,말해줘,네이비쿼카 (NavyQuokka),7,0,4,1,0,1,5,0,0,0,0
285,Sunshine,"승오, 우림",2,1,1,1,0,1,5,0,0,1,0
286,Guess & try (feat. RIPLEY),"승오, 우림",3,0,3,0,0,0,5,1,1,0,0
287,야몽음인 (夜夢陰人),이바다,1,0,0,0,0,1,0,5,0,1,1
288,One More Night (Feat. VINXEN),베이빌론 (Babylon),3,0,0,0,0,0,1,6,0,2,1
289,Deep,유성은,0,0,0,0,0,0,0,9,0,4,1
290,소원이지 (Feat. 유병재),MINO (송민호),1,1,16,0,1,0,0,5,4,0,10
291,닿은 순간 (Ooh La La La),EXO,0,0,3,1,0,0,1,8,0,3,2
292,비 오는 거리 (Feat. 핫펠트),베이빌론 (Babylon),1,0,0,1,0,0,0,7,0,1,0
293,"깜빡 Remix (Feat. Crush, Elo & Jinbo)",GRAY (그레이),2,0,2,0,0,0,1,7,1,0,0
294,"Funny (PROD. e.one, SEION)",소유 (SOYOU),0,0,1,0,0,0,0,7,0,1,0
295,곡선,선미,0,0,0,0,0,0,0,5,1,1,0
296,HERE I COME,신화,1,1,2,1,2,1,0,13,1,3,2
297,Trouble Maker,트러블메이커,0,0,0,1,0,0,0,6,0,0,0
298,"PLAY ME (Feat. 식케이, PENOMECO)",WOOGIE,1,0,1,0,0,0,1,5,0,0,1
299,Cereal (Feat. ZICO),Crush,0,1,1,5,0,0,0,13,1,0,0
300,Wanna Love You,폴킴,0,0,0,0,0,0,0,9,0,0,1
301,야시시,NS 윤지,0,0,0,0,0,0,0,15,0,3,0
302,Lovestar (#럽스타),나비 (Navi),0,0,0,1,0,0,0,11,1,3,4
303,아슬해,EXID,3,1,4,4,0,1,0,5,0,2,0
304,X (Cross The Moonlight) (Feat. 이라온),마크툽 (MAKTUB),2,0,2,0,0,0,0,5,0,0,1
305,매일밤,EXID,3,0,1,0,0,0,1,5,0,6,0
306,I Got Love,태연 (TAEYEON),4,0,0,1,0,0,0,6,1,3,0
307,피어나,가인,0,0,0,0,0,0,0,8,0,3,3
308,Paradise Lost,가인,0,0,6,0,3,1,0,5,0,2,0
309,"아끼지마 (Feat. 초아(AOA), 아이언) (Don't Be Shy)",프라이머리,0,0,2,0,0,0,2,8,0,2,0
310,우리끼리 (Words Don't Come Easy),마마무 (Mamamoo),0,0,0,4,0,0,0,16,0,2,0
311,A-Ha,아이비,1,0,1,0,0,0,0,6,0,3,0
312,Sweet & Easy,원더걸스,3,0,0,0,0,0,0,8,0,0,0
313,집에 안갈래 (Feat. 긱스),나비 (Navi),2,1,0,0,0,0,0,8,1,2,2
314,U & Me (Feat. JINBO),SUMIN (수민),0,0,0,0,0,0,0,5,0,1,1
315,Like This (Feat. SOMA),리코 (Rico),1,0,1,1,1,0,0,5,0,1,1
316,Tattoo (Feat. 박재범),ELO,1,0,0,0,0,0,0,7,3,0,2
317,Melt (Feat. Colde),ELO,0,0,0,0,0,0,0,5,0,1,0
318,TOUCH MY BODY,샘김 (Sam Kim),0,0,1,0,0,1,0,5,0,1,1
319,"Downtown Love (Feat. 매드클라운, 웨일)",주영,0,0,0,0,0,0,0,5,3,0,0
320,Planet Girl (Feat. pH-1),주영,0,0,3,2,0,0,0,6,0,0,0
321,Moonlight,나비 (Navi),0,0,2,3,0,0,0,6,0,4,1
322,Lily (Feat. 로운 of SF9),AOA,0,0,2,0,0,0,0,7,0,1,2
323,단둘이,AOA,3,0,4,1,0,0,0,14,0,5,6
324,Chocolate Legs,Eric Benet,0,0,0,0,0,0,0,5,0,0,0
325,Stupid (With SugarFlow),HUS (허밍어반스테레오),4,0,0,0,0,0,0,6,0,7,0
326,Body Party,Ciara,0,0,0,0,0,0,0,5,0,0,0
327,들어와,"허가윤 (4minute), 현아",3,3,3,3,5,0,0,13,0,6,1
328,전화기를 꺼놔 Remix (Feat. ELO),박재범,0,0,0,0,0,0,0,5,0,1,2
329,Moderato (Feat. Hash Swan),마마무 (Mamamoo),1,0,1,2,0,0,0,6,0,0,0
330,잼잼,아이유,1,1,0,0,3,4,0,6,0,7,0
331,손만 잡고 자자 (TURN OFF THE LIGHT) (MINO SOLO),WINNER,2,3,0,0,3,0,0,8,0,4,1
332,예쁜 아가씨,신혜성,0,0,0,0,2,0,0,11,0,13,0
333,하나 더 (One More),피에스타,1,0,0,0,1,0,0,6,0,0,1
334,MOVE,태민 (TAEMIN),2,0,0,0,0,0,0,22,0,0,2
335,후아힌 (Feat. 강민희 Of 미스에스),CSP,2,0,1,0,0,0,0,12,0,4,0
336,찰리채플린,블락비 바스타즈,0,0,0,0,0,0,0,8,0,1,6
337,Six Feet Under,Billie Eilish,0,0,0,0,0,0,0,0,5,0,0
338,Your Eyes,선우정아,1,0,1,0,1,0,0,1,5,0,0
339,괴물이 되어가는 사람들,"하근영, 김예솔",0,0,0,0,0,0,0,0,5,0,0
340,Somewhere (Memory Ver.),하진 (HAJIN),0,0,0,0,0,0,0,0,5,0,0
341,T-KT,Sawano Hiroyuki,0,0,0,0,0,0,0,0,5,0,0
342,Empty,카더가든,0,0,0,0,0,0,0,0,5,0,0
343,슬픈 끝맺음,"남혜승, 박상희",0,0,0,0,0,0,0,0,5,0,0
344,Don't Bring Me Down,일레인,0,0,0,0,0,0,0,0,5,0,0
345,Castle,Halsey,0,0,0,0,0,0,0,0,5,0,0
346,Lullaby,너드커넥션 (Nerd Connection),0,0,0,0,0,0,0,0,5,0,0
347,빨간 하늘,임승범,0,0,0,0,0,0,0,0,5,0,0
348,The Love,호피폴라,0,0,0,0,0,1,1,0,5,0,0
349,Somewhere,오존 (O3ohn),0,0,0,0,0,0,0,0,5,0,0
350,Set Me Free,가인,1,0,0,1,1,0,0,1,5,0,1
351,IDK,MOSSS,0,0,0,0,0,0,0,0,5,0,0
352,Lost Time,"개미, 박정환",0,0,0,0,0,0,0,0,5,0,0
353,RescuE,윤하 (YOUNHA),0,0,0,0,0,0,0,0,5,0,0
354,Michael's Sword,오혜주,0,0,0,0,0,0,0,0,5,0,0
355,LUCA,젬마(JEMMA),0,0,0,0,0,0,0,0,5,0,0
356,The First Day,락다이아몬드,0,0,0,0,0,0,0,0,5,0,0
357,Body Talk,Red Velvet (레드벨벳),11,0,1,1,0,0,1,0,5,1,0
358,We all lie (Slow Ver.),하진 (HAJIN),0,0,0,0,0,0,0,0,5,0,0
359,Dark Sun,개미,0,0,0,0,0,0,0,0,5,0,0
360,Call of Silence,Sawano Hiroyuki [nZk],0,0,0,0,0,0,0,0,5,0,0
361,슬픈 행진 (Sad March),일레인,0,0,0,0,0,0,0,0,5,0,0
362,전쟁터 (with 이선희),AKMU (악뮤),0,0,0,0,0,0,0,1,5,2,1
363,Through Time,"김동혁, 이한범",0,0,0,0,0,0,0,0,5,0,0
364,Lost,윤미래,3,0,0,0,0,0,0,1,9,0,0
365,Kingdom Come,Red Velvet (레드벨벳),2,0,1,1,1,0,0,2,5,4,2
366,Timeless,비비 (BIBI),1,0,2,0,0,0,0,1,5,1,1
367,Control,Halsey,0,0,0,0,0,0,0,0,5,0,0
368,잘 알지도 못하면서,김예림 (Lim Kim),4,2,1,1,3,0,0,0,5,1,1
369,Pandora,락다이아몬드,0,0,0,0,0,0,0,0,5,0,0
370,자각몽 (Lucid Dream),"Asteria, Sondia",2,0,3,0,0,0,0,0,5,0,4
371,다시 웃을 수 있을까,김민승,3,0,1,2,0,2,0,2,6,6,4
372,불꽃,초아,10,1,0,0,3,1,0,1,6,10,2
373,시간,가호 (Gaho),2,0,1,0,1,0,0,0,6,2,1
374,Lost Family,"하근영, 조은정",0,0,0,0,0,0,0,0,5,0,0
375,자각몽,모노그램,2,0,0,0,0,0,0,0,7,1,0
376,목소리,김연지,0,0,0,0,0,0,0,1,5,0,0
377,Pray,클랑 (KLANG),0,0,0,0,0,0,0,0,5,0,0
378,"괴물, 누구인가","하근영, 김예솔",0,0,0,0,0,0,0,0,5,0,0
379,Poker Face,김유안,3,2,2,4,1,2,0,2,5,3,1
380,낮은 목소리,JAMIE (제이미),4,0,0,2,0,0,0,0,6,1,5
381,봄눈,펜타곤,1,0,3,1,0,0,0,2,0,20,2
382,첫 데이트,스윗소로우 (SWEET SORROW),0,0,4,0,0,0,1,2,0,6,0
383,벚꽃 엔딩,버스커 버스커,0,0,0,0,0,0,0,0,3,8,3
384,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",2,0,0,0,0,0,0,1,0,21,0
385,우연히 봄,"로꼬, 유주 (YUJU)",2,0,0,6,0,0,1,5,0,20,1
386,"봄날, 벚꽃 그리고 너",에피톤 프로젝트,0,0,0,0,0,0,0,0,0,5,0
387,봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)",0,1,1,0,0,0,1,0,0,9,2
388,"One More Time, One More Chance (초속5센티미터 OST 2007)",Various Artists,0,0,0,0,0,0,0,0,0,5,0
389,봄바람 (Feat. 나얼),이문세,0,0,1,1,0,0,0,2,0,6,0
390,너는 나의 봄이다,성시경,1,0,3,2,1,0,2,0,3,8,0
391,Love Blossom (러브블러썸),케이윌,0,0,3,0,0,0,0,0,4,12,7
392,봄 타나봐 (BOMTANABA),서인국,0,0,0,0,0,0,0,3,0,5,2
393,너에게만 반응해 (Feat. 이소은),이승환,2,1,0,0,0,0,0,1,0,6,0
394,두근두근,써니힐,0,0,2,0,0,0,0,8,0,12,5
395,벚꽃이 내린다,소란 (SORAN),11,0,0,0,0,0,0,3,0,5,4
396,봄날의 기억,비투비,7,0,1,1,0,0,1,5,2,12,2
397,봄이 오면 (Piano ver.),김윤아,1,0,0,0,0,0,0,0,0,7,0
398,벚꽃이 지면,아이오아이 (I.O.I),4,0,3,0,0,0,0,0,0,14,2
399,장난 아닌데,DAY6 (데이식스),1,0,0,0,0,0,0,3,1,9,1
400,봄이 좋냐??,10CM,0,0,1,1,0,3,0,1,0,8,0
401,Sunshine,짙은,2,0,2,0,0,0,0,0,0,8,0
402,봄날에 만나자 (Acoustic Ver.),한올,0,0,0,0,0,0,0,0,0,13,0
403,Dream All Day,김지수,2,0,1,0,0,0,0,0,0,6,0
404,봄날,정엽,2,0,1,0,0,0,0,0,1,9,1
405,꽃송이가,버스커 버스커,9,0,1,0,0,0,0,3,0,5,0
406,어느 봄날,2am,2,0,1,0,0,0,1,0,0,7,1
407,파란 봄,에일리(Ailee),0,0,0,0,0,0,0,1,0,11,2
408,꽃길 (With ZISU),새봄 (saevom),0,0,2,0,0,0,0,0,0,5,0
409,"나만, 봄",볼빨간사춘기,2,0,2,0,2,0,0,2,2,5,2
410,봄처녀,선우정아,3,0,0,0,0,0,3,0,0,5,1
411,너를 담아 봄 (Feat. 스무살),바닐라 어쿠스틱,0,1,1,0,0,0,0,0,0,5,0
412,"다시, 봄",정승환,0,0,1,0,0,0,0,1,0,10,1
413,Can't Stop,CNBLUE (씨엔블루),0,0,1,0,0,0,0,1,0,7,2
414,왔나봄,Ways (웨이즈),0,0,4,0,0,0,0,2,0,13,0
415,춘곤 (春困),윤현상,3,0,4,0,0,0,1,0,0,9,2
416,Chocolate,DAY6 (데이식스),1,0,1,4,0,0,0,3,0,5,2
417,꽃처럼 한 철만 사랑해 줄 건가요? (Sakura Moment),"심규선 (Lucia), 에피톤 프로젝트",0,0,0,0,0,0,0,0,6,12,4
418,봄이라서 발매함,오브로젝트,0,0,6,1,1,0,0,3,0,12,1
419,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,0,0,3,4,0,0,0,0,0,5,0
420,들었다 놨다 (Love Actually),"써니힐, 데이브레이크 (DAYBREAK)",3,0,3,0,0,1,0,3,1,6,4
421,벚꽃이 핀다고 날 찾지 말아요,"김댕, 팝콘",2,0,3,0,0,0,0,3,1,8,0
422,너의 꽃말,심규선 (Lucia),3,0,0,0,0,0,0,0,0,8,0
423,손 닿으면,장범준,1,0,0,0,0,0,0,2,0,5,1
424,날씨도 좋은데 (With 임동현),타코앤제이형,1,0,9,0,1,0,0,1,1,5,4
425,우리의 봄날은 지나갔지만,유지희 (Yujihi),2,0,0,0,0,0,0,0,0,15,3
426,"사랑, 하자",수호 (SUHO),2,0,0,0,0,0,2,0,1,14,4
427,봄타,마마무 (Mamamoo),2,1,2,2,0,0,1,1,0,7,1
428,그대는 봄인가 (Feat. 은종),윤선하,0,0,0,0,0,0,0,1,0,8,5
429,3월 같은 너,존박,1,0,0,0,2,0,0,2,0,6,0
430,봄 (feat. 산다라박),박봄 (Park Bom),1,0,0,5,0,0,0,4,1,5,7
431,사실 난,디어클라우드,4,0,3,1,0,0,0,0,0,0,5
432,청춘 (Feat. 김창완),김필,2,0,7,0,0,1,0,0,0,0,8
433,클로즈,못 (Mot),3,0,0,3,0,2,0,0,3,0,5
434,내가 사랑한 모든 것들은 나를 눈물짓게 할 테니까,모브닝 (MOVNING),8,0,1,1,0,0,1,1,4,9,5
435,어느 새(디깅클럽서울 Ver.),백예린 (Yerin Baek),3,0,2,0,0,1,0,4,0,2,6
436,Away,"Collective Arts (콜렉티브아츠), 김현창",1,0,0,0,0,0,0,0,0,0,6
437,그런 밤,어반자카파,13,0,0,0,0,0,1,0,0,0,5
438,행복해 보이는 사람처럼,빌리어코스티,4,0,0,1,0,0,0,0,1,2,5
439,어른,이섭,3,0,0,2,0,0,0,0,3,0,6
440,꽃 (Prod. 로코베리),윤미래,2,0,2,0,0,0,0,0,0,0,5
441,놓아줘 (Let Me Out),종현 (JONGHYUN),7,0,0,0,0,0,1,0,3,0,6
442,I Am Blue,1415,1,0,1,0,0,0,0,0,0,2,5
443,솔직히 지친다,청하,11,0,1,0,1,1,0,4,0,0,5
444,나,박원,3,0,3,2,3,0,0,1,0,2,5
445,Balloon,지코 (ZICO),4,0,0,1,0,2,0,0,0,0,7
446,살얼음,브로콜리너마저,4,0,3,1,0,0,4,0,0,0,5
447,나란놈,적재,3,0,1,0,0,0,0,2,0,0,5
448,낙엽의 비,넬 (NELL),4,0,0,0,3,2,0,0,1,0,5
449,답을 찾지 못한 날,윤하 (YOUNHA),3,0,0,0,0,0,0,0,0,0,5
450,청춘,하비누아주,5,1,1,0,3,0,0,0,0,0,5
451,HELP,10CM,1,0,1,1,1,0,1,0,0,1,5
452,헛되었어,못 (Mot),12,0,0,0,0,2,1,1,0,0,9
453,바람이 분다,이소라,8,0,1,0,0,0,0,0,0,1,11
454,청춘,뜨거운 감자,7,0,0,0,0,0,0,5,0,0,11
455,삐뚤어졌어 (Remastered Ver.),선우정아,0,0,0,0,0,1,0,2,1,2,6
456,주변인,노리플라이 (no reply),1,0,1,0,0,0,0,2,6,2,5
457,Kalt (Feat. JOONIE),오존 (O3ohn),1,0,0,0,0,0,0,1,0,1,5
458,가만히 두세요.,김윤아,0,0,2,0,0,1,0,1,0,0,5
459,오늘,오왠 (O.WHEN),5,0,0,0,0,0,0,0,1,0,5
460,불과 얼음 (feat. 예솔),스컬,27,0,3,0,0,8,9,2,7,1,9
461,잊을만하면,달콤한 소금,2,0,0,2,0,0,1,0,2,0,5
462,어른,Sondia,4,0,1,0,0,0,0,1,1,2,6
463,집이없어 (Feat. Dorothy),아인 (AIN),1,0,2,0,0,0,0,0,0,1,5
464,산하엽 (Diphylleia grayi),종현 (JONGHYUN),6,1,0,0,0,1,0,0,0,1,7
465,물고기자리,9와 숫자들,5,1,0,0,0,0,0,0,0,1,5
466,USELESS,정준일,2,1,3,0,0,0,0,0,1,0,5
467,머리가 자란다,데이브레이크 (DAYBREAK),10,0,1,1,0,0,1,1,0,1,5
468,후회,곽진언,3,0,1,0,0,0,2,2,0,3,7
469,비행운,문문 (MoonMoon),3,2,1,0,0,0,0,0,0,1,8
470,불안은 영혼을 잠식한다.,김윤아,0,0,0,0,2,0,0,0,0,0,5
471,우울,어반자카파,7,0,0,0,0,0,1,0,0,0,5
472,날개,못 (Mot),2,0,0,1,0,0,0,2,1,0,6
473,Don't Break Your Heart,사비나앤드론즈,5,0,0,0,0,0,0,1,1,0,5
474,파탈리테,심규선 (Lucia),0,0,2,0,0,0,0,3,0,3,8
475,겨울로 가기 위해 사는 밤 (Feat. 황득경 Of 노티스노트),안녕의 온도,2,0,1,0,0,0,2,1,0,0,5
476,Faded,Alan Walker,0,0,0,0,0,0,0,0,0,0,5
477,혼자라는 느낌,이상은 (=Lee-tzsche),5,0,0,2,0,1,0,4,0,2,7
478,재와 연기의 노래,못 (Mot),4,0,2,0,0,0,0,0,4,0,7
479,Scenery,Ashmute (애쉬뮤트),10,0,0,0,0,0,0,0,0,0,5
480,엘리베이터 (Elevator),종현 (JONGHYUN),1,0,0,0,0,1,0,0,0,0,5
